Date,Exam Count,Subjects
2024-01-06,1,"MATH201"
2024-01-09,1,"SPS102"
2024-01-11,1,"MATH203"
2024-01-15,1,"CS201"
2024-03-24,2,"MATH201, MATH204"
2024-03-25,1,"ORG301"
2024-04-02,1,"HUM201"
2024-04-07,1,"TLL102"
2024-04-27,1,"CS204"
2024-05-04,1,"MATH201"
2024-05-05,1,"MATH204"
2024-05-07,1,"ENS205"
2024-05-30,2,"MATH201, TLL102"
2024-06-05,1,"HUM201"
2024-06-07,2,"CS204, ENS205"
2024-06-09,1,"MATH204"
2024-11-01,1,"CS306"
2024-11-02,1,"CS303"
2024-11-04,1,"CS310"
2024-11-07,1,"NS213"
2024-11-10,1,"DSA210"
2024-11-24,1,"CS300"
